source,year,month,reporting_month,circle,division,subdivision,section,area,cat_code,category,total_services,billed_services,units,load
TG-NPDCL,2023,10,2023-10,HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,MUSTYALAPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0.0,30.0
TG-NPDCL,2023,10,2023-10,HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,OGLAPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,216.0,30.0
TG-NPDCL,2023,10,2023-10,KAMAREDDY,BANSWADA,BANSWADA,BIRKUR,BIRKUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,6.0,30.0
TG-NPDCL,2023,10,2023-10,KARIMNAGAR,KARIMNAGAR RURAL,GANGADHARA,ACHAMPALLY,WADDIARAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,187.0,25.0
TG-NPDCL,2023,10,2023-10,HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL-TOWN,PARKAL,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,122.0,30.0
TG-NPDCL,2023,10,2023-10,KAMAREDDY,KAMAREDDY,KAMAREDDY TOWN,KAMAREDDY(R),PATHARAJAMPET,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,312.0,45.0
TG-NPDCL,2023,10,2023-10,KHAMMAM,KHAMMAM,KHAMMAM(T),KHAMMAM TOWN-2,ZONE (7)  KHAMMAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1328.0,30.0
TG-NPDCL,2023,10,2023-10,KARIMNAGAR,HUZURABAD,HUZURABAD,HUZURABAD TOWN,RTC DEPO,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,300.0,20.0
TG-NPDCL,2023,10,2023-10,HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),NAKKALAGUTTA,BALASAMUDRAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,409.0,55.0
TG-NPDCL,2023,10,2023-10,HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),SUBEDARI,BONDIVAGU,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,756.0,30.0
TG-NPDCL,2023,10,2023-10,HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),SUBEDARI,HUNTER ROAD,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,378.0,30.0
