file_path,source,year,month,reporting_month,status,row_count,error_message
data/raw/consumption/TG-NPDCL/2023/10_OCT_2023.csv,TG-NPDCL,2023,10,2023-10,SUCCESS,34,
data/raw/consumption/TG-NPDCL/2023/11_NOV_2023.csv,TG-NPDCL,2023,11,2023-11,SUCCESS,35,
data/raw/consumption/TG-NPDCL/2023/12_DEC_2023.csv,TG-NPDCL,2023,12,2023-12,SUCCESS,35,
data/raw/consumption/TG-NPDCL/2023/1_JAN_2023.csv,TG-NPDCL,2023,1,2023-01,SUCCESS,24,
data/raw/consumption/TG-NPDCL/2023/2_FEB_2023.csv,TG-NPDCL,2023,2,2023-02,SUCCESS,28,
data/raw/consumption/TG-NPDCL/2023/3_MAR_2023.csv,TG-NPDCL,2023,3,2023-03,SUCCESS,28,
data/raw/consumption/TG-NPDCL/2023/4_APR_2023.csv,TG-NPDCL,2023,4,2023-04,SUCCESS,31,
data/raw/consumption/TG-NPDCL/2023/5_MAY_2023.csv,TG-NPDCL,2023,5,2023-05,SUCCESS,31,
data/raw/consumption/TG-NPDCL/2023/6_JUN_2023.csv,TG-NPDCL,2023,6,2023-06,SUCCESS,31,
data/raw/consumption/TG-NPDCL/2023/7_JUL_2023.csv,TG-NPDCL,2023,7,2023-07,SUCCESS,32,
data/raw/consumption/TG-NPDCL/2023/8_AUG_2023.csv,TG-NPDCL,2023,8,2023-08,SUCCESS,32,
data/raw/consumption/TG-NPDCL/2023/9_SEP_2023.csv,TG-NPDCL,2023,9,2023-09,SUCCESS,33,
data/raw/consumption/TG-NPDCL/2024/10_OCT_2024.csv,TG-NPDCL,2024,10,2024-10,SUCCESS,39,
data/raw/consumption/TG-NPDCL/2024/11_NOV_2024.csv,TG-NPDCL,2024,11,2024-11,SUCCESS,40,
data/raw/consumption/TG-NPDCL/2024/12_DEC_2024.csv,TG-NPDCL,2024,12,2024-12,SUCCESS,43,
data/raw/consumption/TG-NPDCL/2024/1_JAN_2024.csv,TG-NPDCL,2024,1,2024-01,SUCCESS,36,
data/raw/consumption/TG-NPDCL/2024/2_FEB_2024.csv,TG-NPDCL,2024,2,2024-02,SUCCESS,36,
data/raw/consumption/TG-NPDCL/2024/3_MAR_2024.csv,TG-NPDCL,2024,3,2024-03,SUCCESS,37,
data/raw/consumption/TG-NPDCL/2024/4_APR_2024.csv,TG-NPDCL,2024,4,2024-04,SUCCESS,37,
data/raw/consumption/TG-NPDCL/2024/5_MAY_2024.csv,TG-NPDCL,2024,5,2024-05,SUCCESS,37,
data/raw/consumption/TG-NPDCL/2024/6_JUN_2024.csv,TG-NPDCL,2024,6,2024-06,SUCCESS,25,
data/raw/consumption/TG-NPDCL/2024/7_JUL_2024.csv,TG-NPDCL,2024,7,2024-07,SUCCESS,37,
data/raw/consumption/TG-NPDCL/2024/8_AUG_2024.csv,TG-NPDCL,2024,8,2024-08,SUCCESS,38,
data/raw/consumption/TG-NPDCL/2024/9_SEP_2024.csv,TG-NPDCL,2024,9,2024-09,SUCCESS,39,
data/raw/consumption/TG-NPDCL/2025/10_OCT_2025.csv,TG-NPDCL,2025,10,2025-10,SUCCESS,128,
data/raw/consumption/TG-NPDCL/2025/11_NOV_2025.csv,TG-NPDCL,2025,11,2025-11,SUCCESS,140,
data/raw/consumption/TG-NPDCL/2025/12_DEC_2025.csv,TG-NPDCL,2025,12,2025-12,SUCCESS,149,
data/raw/consumption/TG-NPDCL/2025/1_JAN_2025.csv,TG-NPDCL,2025,1,2025-01,SUCCESS,46,
data/raw/consumption/TG-NPDCL/2025/2_FEB_2025.csv,TG-NPDCL,2025,2,2025-02,SUCCESS,50,
data/raw/consumption/TG-NPDCL/2025/3_MAR_2025.csv,TG-NPDCL,2025,3,2025-03,SUCCESS,66,
data/raw/consumption/TG-NPDCL/2025/4_APR_2025.csv,TG-NPDCL,2025,4,2025-04,SUCCESS,84,
data/raw/consumption/TG-NPDCL/2025/5_MAY_2025.csv,TG-NPDCL,2025,5,2025-05,SUCCESS,93,
data/raw/consumption/TG-NPDCL/2025/6_JUN_2025.csv,TG-NPDCL,2025,6,2025-06,SUCCESS,101,
data/raw/consumption/TG-NPDCL/2025/7_JUL_2025.csv,TG-NPDCL,2025,7,2025-07,SUCCESS,110,
data/raw/consumption/TG-NPDCL/2025/8_AUG_2025.csv,TG-NPDCL,2025,8,2025-08,SUCCESS,115,
data/raw/consumption/TG-NPDCL/2025/9_SEP_2025.csv,TG-NPDCL,2025,9,2025-09,SUCCESS,119,
data/raw/consumption/TG-NPDCL/2026/1_JAN_2026.csv,TG-NPDCL,2026,1,2026-01,SUCCESS,160,
data/raw/consumption/TG-NPDCL/2026/2_FEB_2026.csv,TG-NPDCL,2026,2,2026-02,SUCCESS,165,
data/raw/consumption/TG-NPDCL/2026/3_MAR_2026.csv,TG-NPDCL,2026,3,2026-03,SUCCESS,168,
data/raw/consumption/TG-NPDCL/2026/4_APR_2026.csv,TG-NPDCL,2026,4,2026-04,SUCCESS,173,
data/raw/consumption/TG-NPDCL/2026/5_MAY_2026.csv,TG-NPDCL,2026,5,2026-05,SUCCESS,173,
data/raw/consumption/TG-NPDCL/2026/6_JUN_2026.csv,TG-NPDCL,2026,6,2026-06,SUCCESS,178,
data/raw/consumption/TG-SPDCL/2021/06_Jun_2021.csv,TG-SPDCL,2021,6,2021-06,SUCCESS,22,
data/raw/consumption/TG-SPDCL/2021/07_Jul_2021.csv,TG-SPDCL,2021,7,2021-07,SUCCESS,24,
data/raw/consumption/TG-SPDCL/2021/08_Aug_2021.csv,TG-SPDCL,2021,8,2021-08,SUCCESS,32,
data/raw/consumption/TG-SPDCL/2021/09_Sep_2021.csv,TG-SPDCL,2021,9,2021-09,SUCCESS,35,
data/raw/consumption/TG-SPDCL/2021/10_Oct_2021.csv,TG-SPDCL,2021,10,2021-10,SUCCESS,38,
data/raw/consumption/TG-SPDCL/2021/11_Nov_2021.csv,TG-SPDCL,2021,11,2021-11,SUCCESS,40,
data/raw/consumption/TG-SPDCL/2021/12_Dec_2021.csv,TG-SPDCL,2021,12,2021-12,SUCCESS,42,
data/raw/consumption/TG-SPDCL/2022/01_Jan_2022.csv,TG-SPDCL,2022,1,2022-01,SUCCESS,46,
data/raw/consumption/TG-SPDCL/2022/02_Feb_2022.csv,TG-SPDCL,2022,2,2022-02,SUCCESS,47,
data/raw/consumption/TG-SPDCL/2022/03_Mar_2022.csv,TG-SPDCL,2022,3,2022-03,SUCCESS,50,
data/raw/consumption/TG-SPDCL/2022/04_Apr_2022.csv,TG-SPDCL,2022,4,2022-04,SUCCESS,55,
data/raw/consumption/TG-SPDCL/2022/06_Jun_2022.csv,TG-SPDCL,2022,6,2022-06,SUCCESS,67,
data/raw/consumption/TG-SPDCL/2022/07_Jul_2022.csv,TG-SPDCL,2022,7,2022-07,SUCCESS,69,
data/raw/consumption/TG-SPDCL/2022/08_Aug_2022.csv,TG-SPDCL,2022,8,2022-08,SUCCESS,75,
data/raw/consumption/TG-SPDCL/2022/09_Sep_2022.csv,TG-SPDCL,2022,9,2022-09,SUCCESS,76,
data/raw/consumption/TG-SPDCL/2022/10_Oct_2022.csv,TG-SPDCL,2022,10,2022-10,SUCCESS,77,
data/raw/consumption/TG-SPDCL/2022/11_Nov_2022.csv,TG-SPDCL,2022,11,2022-11,SUCCESS,81,
data/raw/consumption/TG-SPDCL/2022/12_Dec_2022.csv,TG-SPDCL,2022,12,2022-12,SUCCESS,85,
data/raw/consumption/TG-SPDCL/2023/01_Jan_2023.csv,TG-SPDCL,2023,1,2023-01,SUCCESS,90,
data/raw/consumption/TG-SPDCL/2023/02_Feb_2023.csv,TG-SPDCL,2023,2,2023-02,SUCCESS,92,
data/raw/consumption/TG-SPDCL/2023/03_Mar_2023.csv,TG-SPDCL,2023,3,2023-03,SUCCESS,100,
data/raw/consumption/TG-SPDCL/2023/04_Apr_2023.csv,TG-SPDCL,2023,4,2023-04,SUCCESS,108,
data/raw/consumption/TG-SPDCL/2023/05_May_2023.csv,TG-SPDCL,2023,5,2023-05,SUCCESS,123,
data/raw/consumption/TG-SPDCL/2023/06_Jun_2023.csv,TG-SPDCL,2023,6,2023-06,SUCCESS,128,
data/raw/consumption/TG-SPDCL/2023/07_Jul_2023.csv,TG-SPDCL,2023,7,2023-07,SUCCESS,133,
data/raw/consumption/TG-SPDCL/2023/08_Aug_2023.csv,TG-SPDCL,2023,8,2023-08,SUCCESS,145,
data/raw/consumption/TG-SPDCL/2023/09_Sep_2023.csv,TG-SPDCL,2023,9,2023-09,SUCCESS,159,
data/raw/consumption/TG-SPDCL/2023/10_Oct_2023.csv,TG-SPDCL,2023,10,2023-10,SUCCESS,169,
data/raw/consumption/TG-SPDCL/2023/11_Nov_2023.csv,TG-SPDCL,2023,11,2023-11,SUCCESS,176,
data/raw/consumption/TG-SPDCL/2023/12_Dec_2023.csv,TG-SPDCL,2023,12,2023-12,SUCCESS,186,
data/raw/consumption/TG-SPDCL/2024/01_Jan_2024.csv,TG-SPDCL,2024,1,2024-01,SUCCESS,194,
data/raw/consumption/TG-SPDCL/2024/02_Feb_2024.csv,TG-SPDCL,2024,2,2024-02,SUCCESS,198,
data/raw/consumption/TG-SPDCL/2024/03_Mar_2024.csv,TG-SPDCL,2024,3,2024-03,SUCCESS,203,
data/raw/consumption/TG-SPDCL/2024/04_Apr_2024.csv,TG-SPDCL,2024,4,2024-04,SUCCESS,209,
data/raw/consumption/TG-SPDCL/2024/05_May_2024.csv,TG-SPDCL,2024,5,2024-05,SUCCESS,211,
data/raw/consumption/TG-SPDCL/2024/06_Jun_2024.csv,TG-SPDCL,2024,6,2024-06,SUCCESS,215,
data/raw/consumption/TG-SPDCL/2024/07_Jul_2024.csv,TG-SPDCL,2024,7,2024-07,SUCCESS,224,
data/raw/consumption/TG-SPDCL/2024/08_Aug_2024.csv,TG-SPDCL,2024,8,2024-08,SUCCESS,226,
data/raw/consumption/TG-SPDCL/2024/09_Sep_2024.csv,TG-SPDCL,2024,9,2024-09,SUCCESS,234,
data/raw/consumption/TG-SPDCL/2024/10_Oct_2024.csv,TG-SPDCL,2024,10,2024-10,SUCCESS,241,
data/raw/consumption/TG-SPDCL/2024/11_Nov_2024.csv,TG-SPDCL,2024,11,2024-11,SUCCESS,245,
data/raw/consumption/TG-SPDCL/2024/12_Dec_2024.csv,TG-SPDCL,2024,12,2024-12,SUCCESS,254,
data/raw/consumption/TG-SPDCL/2025/01_Jan_2025.csv,TG-SPDCL,2025,1,2025-01,SUCCESS,282,
data/raw/consumption/TG-SPDCL/2025/02_Feb_2025.csv,TG-SPDCL,2025,2,2025-02,SUCCESS,301,
data/raw/consumption/TG-SPDCL/2025/03_Mar_2025.csv,TG-SPDCL,2025,3,2025-03,SUCCESS,326,
data/raw/consumption/TG-SPDCL/2025/04_Apr_2025.csv,TG-SPDCL,2025,4,2025-04,SUCCESS,366,
data/raw/consumption/TG-SPDCL/2025/05_May_2025.csv,TG-SPDCL,2025,5,2025-05,SUCCESS,394,
data/raw/consumption/TG-SPDCL/2025/06_Jun_2025.csv,TG-SPDCL,2025,6,2025-06,SUCCESS,413,
data/raw/consumption/TG-SPDCL/2025/07_Jul_2025.csv,TG-SPDCL,2025,7,2025-07,SUCCESS,422,
data/raw/consumption/TG-SPDCL/2025/08_Aug_2025.csv,TG-SPDCL,2025,8,2025-08,SUCCESS,495,
data/raw/consumption/TG-SPDCL/2025/10_Oct_2025.csv,TG-SPDCL,2025,10,2025-10,SUCCESS,436,
data/raw/consumption/TG-SPDCL/2025/11_Nov_2025.csv,TG-SPDCL,2025,11,2025-11,SUCCESS,442,
data/raw/consumption/TG-SPDCL/2025/12_Dec_2025.csv,TG-SPDCL,2025,12,2025-12,SUCCESS,443,
data/raw/consumption/TG-SPDCL/2026/01_Jan_2026.csv,TG-SPDCL,2026,1,2026-01,SUCCESS,452,
data/raw/consumption/TG-SPDCL/2026/02_Feb_2026.csv,TG-SPDCL,2026,2,2026-02,SUCCESS,469,
data/raw/consumption/TG-SPDCL/2026/03_Mar_2026.csv,TG-SPDCL,2026,3,2026-03,SUCCESS,476,
data/raw/consumption/TG-SPDCL/2026/04_Apr_2026.csv,TG-SPDCL,2026,4,2026-04,SUCCESS,481,
data/raw/consumption/TG-SPDCL/2026/05_May_2026.csv,TG-SPDCL,2026,5,2026-05,SUCCESS,485,
data/raw/consumption/TG-SPDCL/2026/06_Jun_2026.csv,TG-SPDCL,2026,6,2026-06,SUCCESS,498,
