OBJECTID,dtname,stname,stcode11,dtcode11,year_stat,dist_lgd,state_lgd,remarks,Dist,InPoly_FID,SimPgnFlag,MaxSimpTol,MinSimpTol,SHAPE_Length,SHAPE_Area,district_name,area_sq_km,centroid_longitude,centroid_latitude
650,Narayanpet,TELANGANA,36,781,2019,721,36, ,Narayanpet,1418,0,100,100,367418.84694711486,2586445574.697775,Narayanpet,2366.8461522295484,77.58021453896922,16.643141289198336
649,Wanaparthy,TELANGANA,36,745,2016_c,693,36, ,Wanaparthy,1417,0,100,100,345108.4897170726,2429685547.354925,Wanaparthy,2229.6014079239103,78.04247735891539,16.28955019453262
530,Mahabubnagar,TELANGANA,36,538,2016_c,512,36, ,Mahabubnagar,1298,0,100,100,455813.07598985545,3073021885.0289454,Mahabubnagar,2806.7939417389994,78.01311517560168,16.751461914493674
651,Vikarabad,TELANGANA,36,743,2016_c,698,36, ,Vikarabad,1419,0,100,100,449884.6754329126,4083765338.103462,Vikarabad,3712.198771085446,77.75071359645821,17.24621515915895
647,Sangareddy,TELANGANA,36,740,2016_c,691,36, ,Sangareddy,1415,0,100,100,669243.9014070395,4937049693.443655,Sangareddy,4460.5550039511645,77.87426478490553,17.785308465824144
663,Medak,TELANGANA,36,535,2016_c,513,36, ,Medak,1431,0,100,100,448360.02292424574,3052475928.154953,Medak,2750.973110330465,78.26500189814796,17.953224823237967
498,Hyderabad,TELANGANA,36,536,2016_c,507,36, ,Hyderabad,1266,0,100,100,103762.99834152909,211385830.01593143,Hyderabad,191.62214001208864,78.47016567600058,17.395106162143417
652,Medchal Malkajgiri,TELANGANA,36,742,2016_c,700,36, ,Medchal Malkajgiri,1420,0,100,100,225215.61775722168,1189293946.8350155,Medchal Malkajgiri,1076.2237748506761,78.55770391375447,17.5442037664792
535,Siddipet,TELANGANA,36,741,2016_c,692,36, ,Siddipet,1303,0,100,100,429878.35135195445,4142865958.4851527,Siddipet,3727.798868371362,78.85692001486474,18.02159496047411
653,Yadadri Bhuvanagiri,TELANGANA,36,747,2016_c,697,36, ,Yadadri Bhuvanagiri,1421,0,100,100,403662.93511063524,3567445405.042884,Yadadri Bhuvanagiri,3229.8470269890395,78.97868677858561,17.45116876980778
572,Ranga Reddy,TELANGANA,36,537,2016_c,518,36, ,Ranga Reddy,1340,0,100,100,570855.3392811709,5501876433.917545,Ranga Reddy,5002.066948810028,78.41255276864116,17.13094792118452
648,Nagarkurnool,TELANGANA,36,746,2016_c,694,36, ,Nagarkurnool,1416,0,100,100,549297.116660681,6773459865.0290165,Nagarkurnool,6204.699538959476,78.59597920921627,16.382248026848238
634,Jogulamba Gadwal,TELANGANA,36,744,2016_c,695,36, ,Jogulamba Gadwal,1402,0,100,100,289670.40282831993,2801752827.186793,Jogulamba Gadwal,2577.848940651714,77.78103468586683,16.07171953232134
513,Bhadradri Kothagudem,TELANGANA,36,753,2016_c,690,36, ,Bhadradri Kothagudem,1281,0,100,100,661527.5825339551,7651477464.798143,Bhadradri Kothagudem,6901.593506517005,80.71671358448195,17.690286621315373
655,Khammam,TELANGANA,36,541,2016_c,509,36, ,Khammam,1423,0,100,100,659843.9399408308,5155307363.926931,Khammam,4675.025875889077,80.36515460950669,17.205979601504943
654,Suryapet,TELANGANA,36,748,2016_c,696,36, ,Suryapet,1422,0,100,100,364844.64116792276,3955449175.4475875,Suryapet,3592.814807333747,79.75463695883276,17.080453682764272
547,Nalgonda,TELANGANA,36,539,2016_c,514,36, ,Nalgonda,1315,0,100,100,498835.256494762,7910200020.945275,Nalgonda,7203.9987651799975,79.19288090910462,16.876389205766454
658,Warangal,TELANGANA,36,540,2016_c,522,36, ,Warangal,1426,0,100,100,268550.6300519629,1942661847.0385513,Warangal,1749.5927673209283,79.75106414913724,17.866192088329413
656,Mahabubabad,TELANGANA,36,751,2016_c,688,36, ,Mahabubabad,1424,0,100,100,384666.7145198979,3922894947.408882,Mahabubabad,3539.9321864629474,79.99610235216272,17.675077227418598
756,Hanumakonda,TELANGANA,36,749,2016_c,686,36, ,Hanumakonda,1524,0,100,100,279331.8558758506,1843334222.0645423,Hanumakonda,1656.7747108353926,79.53282021082931,18.062270408482156
657,Jangoan,TELANGANA,36,752,2016_c,689,36, ,Jangoan,1425,0,100,100,323286.7709098286,2655919136.6158447,Jangaon,2396.601392407076,79.2818344756412,17.72633261028821
509,Karimnagar,TELANGANA,36,534,2016_c,508,36, ,Karimnagar,1277,0,100,100,320461.1969210274,2237081815.0675383,Karimnagar,2003.9397399846582,79.24546417420055,18.380020055048142
