district,year,month,reporting_month,units,load,total_services,billed_services,circle_count,division_count,subdivision_count,charging_station_count,latitude,longitude,district_area_sqkm
Adilabad,2023,1,2023-01,600.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,2,2023-02,566.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,3,2023-03,600.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,4,2023-04,1075.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,5,2023-05,847.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,6,2023-06,711.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,7,2023-07,804.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,8,2023-08,698.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,9,2023-09,986.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,10,2023-10,987.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,11,2023-11,930.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2023,12,2023-12,1315.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,1,2024-01,1211.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,2,2024-02,1239.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,3,2024-03,729.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,4,2024-04,1007.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,5,2024-05,1162.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,6,2024-06,1419.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,7,2024-07,694.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,8,2024-08,1101.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,9,2024-09,711.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,10,2024-10,683.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,11,2024-11,1086.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2024,12,2024-12,976.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,1,2025-01,1300.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,2,2025-02,1029.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,3,2025-03,1820.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,4,2025-04,936.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,5,2025-05,1844.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,6,2025-06,1458.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,7,2025-07,1317.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,8,2025-08,1106.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,9,2025-09,1413.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,10,2025-10,1469.0,255.0,6,4.0,1,2,3,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,11,2025-11,1639.0,305.0,7,7.0,1,2,3,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2025,12,2025-12,1934.0,305.0,7,7.0,1,2,3,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2026,1,2026-01,2232.0,425.0,8,7.0,1,2,3,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2026,2,2026-02,3121.0,425.0,8,8.0,1,2,3,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2026,3,2026-03,4219.0,545.0,9,8.0,1,2,3,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2026,4,2026-04,7663.0,545.0,9,9.0,1,2,3,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2026,5,2026-05,8337.0,545.0,9,9.0,1,2,3,3,19.519845239095925,78.5658902721029,3999.9751418715546
Adilabad,2026,6,2026-06,7310.0,545.0,9,9.0,1,2,3,3,19.519845239095925,78.5658902721029,3999.9751418715546
Kumuram Bheem Asifabad,2025,4,2025-04,0.0,50.0,1,1.0,1,1,1,1,19.357265352578704,79.41967828302782,4535.896782740867
Kumuram Bheem Asifabad,2025,5,2025-05,2.0,50.0,1,1.0,1,1,1,1,19.357265352578704,79.41967828302782,4535.896782740867
Kumuram Bheem Asifabad,2025,6,2025-06,0.0,100.0,2,1.0,1,1,1,1,19.357265352578704,79.41967828302782,4535.896782740867
Kumuram Bheem Asifabad,2025,7,2025-07,0.0,100.0,2,2.0,1,1,1,1,19.357265352578704,79.41967828302782,4535.896782740867
Kumuram Bheem Asifabad,2025,8,2025-08,0.0,100.0,2,2.0,1,1,1,1,19.357265352578704,79.41967828302782,4535.896782740867
Kumuram Bheem Asifabad,2025,9,2025-09,64.0,100.0,2,2.0,1,1,1,1,19.357265352578704,79.41967828302782,4535.896782740867
