circle,district,status,appears_in_tgspdcl,appears_in_tgnpdcl,record_count,source_files
ADILABAD,ADILABAD,mapped,no,yes,108,10_OCT_2023.csv; 10_OCT_2024.csv; 10_OCT_2025.csv; 11_NOV_2023.csv; 11_NOV_2024.csv; 11_NOV_2025.csv; 12_DEC_2023.csv; 12_DEC_2024.csv; 12_DEC_2025.csv; 1_JAN_2023.csv; 1_JAN_2024.csv; 1_JAN_2025.csv; 1_JAN_2026.csv; 2_FEB_2023.csv; 2_FEB_2024.csv; 2_FEB_2025.csv; 2_FEB_2026.csv; 3_MAR_2023.csv; 3_MAR_2024.csv; 3_MAR_2025.csv; 3_MAR_2026.csv; 4_APR_2023.csv; 4_APR_2024.csv; 4_APR_2025.csv; 4_APR_2026.csv; 5_MAY_2023.csv; 5_MAY_2024.csv; 5_MAY_2025.csv; 5_MAY_2026.csv; 6_JUN_2023.csv; 6_JUN_2024.csv; 6_JUN_2025.csv; 6_JUN_2026.csv; 7_JUL_2023.csv; 7_JUL_2024.csv; 7_JUL_2025.csv; 8_AUG_2023.csv; 8_AUG_2024.csv; 8_AUG_2025.csv; 9_SEP_2023.csv; 9_SEP_2024.csv; 9_SEP_2025.csv
ASIFABAD,ASIFABAD,mapped,no,yes,32,10_OCT_2025.csv; 11_NOV_2025.csv; 12_DEC_2025.csv; 1_JAN_2026.csv; 2_FEB_2026.csv; 3_MAR_2026.csv; 4_APR_2025.csv; 4_APR_2026.csv; 5_MAY_2025.csv; 5_MAY_2026.csv; 6_JUN_2025.csv; 6_JUN_2026.csv; 7_JUL_2025.csv; 8_AUG_2025.csv; 9_SEP_2025.csv
BANJARA HILLS,HYDERABAD,mapped,yes,no,762,01_Jan_2022.csv; 01_Jan_2023.csv; 01_Jan_2024.csv; 01_Jan_2025.csv; 01_Jan_2026.csv; 02_Feb_2022.csv; 02_Feb_2023.csv; 02_Feb_2024.csv; 02_Feb_2025.csv; 02_Feb_2026.csv; 03_Mar_2022.csv; 03_Mar_2023.csv; 03_Mar_2024.csv; 03_Mar_2025.csv; 03_Mar_2026.csv; 04_Apr_2022.csv; 04_Apr_2023.csv; 04_Apr_2024.csv; 04_Apr_2025.csv; 04_Apr_2026.csv; 05_May_2023.csv; 05_May_2024.csv; 05_May_2025.csv; 05_May_2026.csv; 06_Jun_2021.csv; 06_Jun_2022.csv; 06_Jun_2023.csv; 06_Jun_2024.csv; 06_Jun_2025.csv; 06_Jun_2026.csv; 07_Jul_2021.csv; 07_Jul_2022.csv; 07_Jul_2023.csv; 07_Jul_2024.csv; 07_Jul_2025.csv; 08_Aug_2021.csv; 08_Aug_2022.csv; 08_Aug_2023.csv; 08_Aug_2024.csv; 08_Aug_2025.csv; 09_Sep_2021.csv; 09_Sep_2022.csv; 09_Sep_2023.csv; 09_Sep_2024.csv; 10_Oct_2021.csv; 10_Oct_2022.csv; 10_Oct_2023.csv; 10_Oct_2024.csv; 10_Oct_2025.csv; 11_Nov_2021.csv; 11_Nov_2022.csv; 11_Nov_2023.csv; 11_Nov_2024.csv; 11_Nov_2025.csv; 12_Dec_2021.csv; 12_Dec_2022.csv; 12_Dec_2023.csv; 12_Dec_2024.csv; 12_Dec_2025.csv
BHADRADRI KOTHAGUDEM,BHADRADRI KOTHAGUDEM,mapped,no,yes,261,10_OCT_2023.csv; 10_OCT_2024.csv; 10_OCT_2025.csv; 11_NOV_2023.csv; 11_NOV_2024.csv; 11_NOV_2025.csv; 12_DEC_2023.csv; 12_DEC_2024.csv; 12_DEC_2025.csv; 1_JAN_2023.csv; 1_JAN_2024.csv; 1_JAN_2025.csv; 1_JAN_2026.csv; 2_FEB_2023.csv; 2_FEB_2024.csv; 2_FEB_2025.csv; 2_FEB_2026.csv; 3_MAR_2023.csv; 3_MAR_2024.csv; 3_MAR_2025.csv; 3_MAR_2026.csv; 4_APR_2023.csv; 4_APR_2024.csv; 4_APR_2025.csv; 4_APR_2026.csv; 5_MAY_2023.csv; 5_MAY_2024.csv; 5_MAY_2025.csv; 5_MAY_2026.csv; 6_JUN_2023.csv; 6_JUN_2024.csv; 6_JUN_2025.csv; 6_JUN_2026.csv; 7_JUL_2023.csv; 7_JUL_2024.csv; 7_JUL_2025.csv; 8_AUG_2023.csv; 8_AUG_2024.csv; 8_AUG_2025.csv; 9_SEP_2023.csv; 9_SEP_2024.csv; 9_SEP_2025.csv
BHUPALAPALLY,BHUPALAPALLY,mapped,no,yes,56,10_OCT_2023.csv; 10_OCT_2024.csv; 10_OCT_2025.csv; 11_NOV_2023.csv; 11_NOV_2024.csv; 11_NOV_2025.csv; 12_DEC_2023.csv; 12_DEC_2024.csv; 12_DEC_2025.csv; 1_JAN_2024.csv; 1_JAN_2025.csv; 1_JAN_2026.csv; 2_FEB_2023.csv; 2_FEB_2024.csv; 2_FEB_2025.csv; 2_FEB_2026.csv; 3_MAR_2023.csv; 3_MAR_2024.csv; 3_MAR_2025.csv; 3_MAR_2026.csv; 4_APR_2023.csv; 4_APR_2024.csv; 4_APR_2025.csv; 4_APR_2026.csv; 5_MAY_2023.csv; 5_MAY_2024.csv; 5_MAY_2025.csv; 5_MAY_2026.csv; 6_JUN_2023.csv; 6_JUN_2025.csv; 6_JUN_2026.csv; 7_JUL_2023.csv; 7_JUL_2024.csv; 7_JUL_2025.csv; 8_AUG_2023.csv; 8_AUG_2024.csv; 8_AUG_2025.csv; 9_SEP_2023.csv; 9_SEP_2024.csv; 9_SEP_2025.csv
CYBERCITY,HYDERABAD,mapped,yes,no,1077,01_Jan_2022.csv; 01_Jan_2023.csv; 01_Jan_2024.csv; 01_Jan_2025.csv; 01_Jan_2026.csv; 02_Feb_2022.csv; 02_Feb_2023.csv; 02_Feb_2024.csv; 02_Feb_2025.csv; 02_Feb_2026.csv; 03_Mar_2022.csv; 03_Mar_2023.csv; 03_Mar_2024.csv; 03_Mar_2025.csv; 03_Mar_2026.csv; 04_Apr_2022.csv; 04_Apr_2023.csv; 04_Apr_2024.csv; 04_Apr_2025.csv; 04_Apr_2026.csv; 05_May_2023.csv; 05_May_2024.csv; 05_May_2025.csv; 05_May_2026.csv; 06_Jun_2021.csv; 06_Jun_2022.csv; 06_Jun_2023.csv; 06_Jun_2024.csv; 06_Jun_2025.csv; 06_Jun_2026.csv; 07_Jul_2021.csv; 07_Jul_2022.csv; 07_Jul_2023.csv; 07_Jul_2024.csv; 07_Jul_2025.csv; 08_Aug_2021.csv; 08_Aug_2022.csv; 08_Aug_2023.csv; 08_Aug_2024.csv; 08_Aug_2025.csv; 09_Sep_2021.csv; 09_Sep_2022.csv; 09_Sep_2023.csv; 09_Sep_2024.csv; 10_Oct_2021.csv; 10_Oct_2022.csv; 10_Oct_2023.csv; 10_Oct_2024.csv; 10_Oct_2025.csv; 11_Nov_2021.csv; 11_Nov_2022.csv; 11_Nov_2023.csv; 11_Nov_2024.csv; 11_Nov_2025.csv; 12_Dec_2021.csv; 12_Dec_2022.csv; 12_Dec_2023.csv; 12_Dec_2024.csv; 12_Dec_2025.csv
GADWAL,GADWAL,mapped,yes,no,104,01_Jan_2024.csv; 01_Jan_2025.csv; 01_Jan_2026.csv; 02_Feb_2024.csv; 02_Feb_2025.csv; 02_Feb_2026.csv; 03_Mar_2024.csv; 03_Mar_2025.csv; 03_Mar_2026.csv; 04_Apr_2024.csv; 04_Apr_2025.csv; 04_Apr_2026.csv; 05_May_2024.csv; 05_May_2025.csv; 05_May_2026.csv; 06_Jun_2024.csv; 06_Jun_2025.csv; 06_Jun_2026.csv; 07_Jul_2024.csv; 07_Jul_2025.csv; 08_Aug_2024.csv; 08_Aug_2025.csv; 09_Sep_2024.csv; 10_Oct_2023.csv; 10_Oct_2024.csv; 10_Oct_2025.csv; 11_Nov_2023.csv; 11_Nov_2024.csv; 11_Nov_2025.csv; 12_Dec_2023.csv; 12_Dec_2024.csv; 12_Dec_2025.csv
HABSIGUDA,HYDERABAD,mapped,yes,no,1495,01_Jan_2022.csv; 01_Jan_2023.csv; 01_Jan_2024.csv; 01_Jan_2025.csv; 01_Jan_2026.csv; 02_Feb_2022.csv; 02_Feb_2023.csv; 02_Feb_2024.csv; 02_Feb_2025.csv; 02_Feb_2026.csv; 03_Mar_2022.csv; 03_Mar_2023.csv; 03_Mar_2024.csv; 03_Mar_2025.csv; 03_Mar_2026.csv; 04_Apr_2022.csv; 04_Apr_2023.csv; 04_Apr_2024.csv; 04_Apr_2025.csv; 04_Apr_2026.csv; 05_May_2023.csv; 05_May_2024.csv; 05_May_2025.csv; 05_May_2026.csv; 06_Jun_2021.csv; 06_Jun_2022.csv; 06_Jun_2023.csv; 06_Jun_2024.csv; 06_Jun_2025.csv; 06_Jun_2026.csv; 07_Jul_2021.csv; 07_Jul_2022.csv; 07_Jul_2023.csv; 07_Jul_2024.csv; 07_Jul_2025.csv; 08_Aug_2021.csv; 08_Aug_2022.csv; 08_Aug_2023.csv; 08_Aug_2024.csv; 08_Aug_2025.csv; 09_Sep_2021.csv; 09_Sep_2022.csv; 09_Sep_2023.csv; 09_Sep_2024.csv; 10_Oct_2021.csv; 10_Oct_2022.csv; 10_Oct_2023.csv; 10_Oct_2024.csv; 10_Oct_2025.csv; 11_Nov_2021.csv; 11_Nov_2022.csv; 11_Nov_2023.csv; 11_Nov_2024.csv; 11_Nov_2025.csv; 12_Dec_2021.csv; 12_Dec_2022.csv; 12_Dec_2023.csv; 12_Dec_2024.csv; 12_Dec_2025.csv
HANUMAKONDA,HANUMAKONDA,mapped,no,yes,497,10_OCT_2023.csv; 10_OCT_2024.csv; 10_OCT_2025.csv; 11_NOV_2023.csv; 11_NOV_2024.csv; 11_NOV_2025.csv; 12_DEC_2023.csv; 12_DEC_2024.csv; 12_DEC_2025.csv; 1_JAN_2023.csv; 1_JAN_2024.csv; 1_JAN_2025.csv; 1_JAN_2026.csv; 2_FEB_2023.csv; 2_FEB_2024.csv; 2_FEB_2025.csv; 2_FEB_2026.csv; 3_MAR_2023.csv; 3_MAR_2024.csv; 3_MAR_2025.csv; 3_MAR_2026.csv; 4_APR_2023.csv; 4_APR_2024.csv; 4_APR_2025.csv; 4_APR_2026.csv; 5_MAY_2023.csv; 5_MAY_2024.csv; 5_MAY_2025.csv; 5_MAY_2026.csv; 6_JUN_2023.csv; 6_JUN_2024.csv; 6_JUN_2025.csv; 6_JUN_2026.csv; 7_JUL_2023.csv; 7_JUL_2024.csv; 7_JUL_2025.csv; 8_AUG_2023.csv; 8_AUG_2024.csv; 8_AUG_2025.csv; 9_SEP_2023.csv; 9_SEP_2024.csv; 9_SEP_2025.csv
HYDERABAD CENTRAL,HYDERABAD,mapped,yes,no,552,01_Jan_2022.csv; 01_Jan_2023.csv; 01_Jan_2024.csv; 01_Jan_2025.csv; 01_Jan_2026.csv; 02_Feb_2022.csv; 02_Feb_2023.csv; 02_Feb_2024.csv; 02_Feb_2025.csv; 02_Feb_2026.csv; 03_Mar_2022.csv; 03_Mar_2023.csv; 03_Mar_2024.csv; 03_Mar_2025.csv; 03_Mar_2026.csv; 04_Apr_2022.csv; 04_Apr_2023.csv; 04_Apr_2024.csv; 04_Apr_2025.csv; 04_Apr_2026.csv; 05_May_2023.csv; 05_May_2024.csv; 05_May_2025.csv; 05_May_2026.csv; 06_Jun_2021.csv; 06_Jun_2022.csv; 06_Jun_2023.csv; 06_Jun_2024.csv; 06_Jun_2025.csv; 06_Jun_2026.csv; 07_Jul_2021.csv; 07_Jul_2022.csv; 07_Jul_2023.csv; 07_Jul_2024.csv; 07_Jul_2025.csv; 08_Aug_2021.csv; 08_Aug_2022.csv; 08_Aug_2023.csv; 08_Aug_2024.csv; 08_Aug_2025.csv; 09_Sep_2021.csv; 09_Sep_2022.csv; 09_Sep_2023.csv; 09_Sep_2024.csv; 10_Oct_2021.csv; 10_Oct_2022.csv; 10_Oct_2023.csv; 10_Oct_2024.csv; 10_Oct_2025.csv; 11_Nov_2021.csv; 11_Nov_2022.csv; 11_Nov_2023.csv; 11_Nov_2024.csv; 11_Nov_2025.csv; 12_Dec_2021.csv; 12_Dec_2022.csv; 12_Dec_2023.csv; 12_Dec_2024.csv; 12_Dec_2025.csv
HYDERABAD SOUTH,HYDERABAD,mapped,yes,no,430,01_Jan_2022.csv; 01_Jan_2023.csv; 01_Jan_2024.csv; 01_Jan_2025.csv; 01_Jan_2026.csv; 02_Feb_2022.csv; 02_Feb_2023.csv; 02_Feb_2024.csv; 02_Feb_2025.csv; 02_Feb_2026.csv; 03_Mar_2022.csv; 03_Mar_2023.csv; 03_Mar_2024.csv; 03_Mar_2025.csv; 03_Mar_2026.csv; 04_Apr_2022.csv; 04_Apr_2023.csv; 04_Apr_2024.csv; 04_Apr_2025.csv; 04_Apr_2026.csv; 05_May_2023.csv; 05_May_2024.csv; 05_May_2025.csv; 05_May_2026.csv; 06_Jun_2021.csv; 06_Jun_2022.csv; 06_Jun_2023.csv; 06_Jun_2024.csv; 06_Jun_2025.csv; 06_Jun_2026.csv; 07_Jul_2021.csv; 07_Jul_2022.csv; 07_Jul_2023.csv; 07_Jul_2024.csv; 07_Jul_2025.csv; 08_Aug_2021.csv; 08_Aug_2022.csv; 08_Aug_2023.csv; 08_Aug_2024.csv; 08_Aug_2025.csv; 09_Sep_2021.csv; 09_Sep_2022.csv; 09_Sep_2023.csv; 09_Sep_2024.csv; 10_Oct_2021.csv; 10_Oct_2022.csv; 10_Oct_2023.csv; 10_Oct_2024.csv; 10_Oct_2025.csv; 11_Nov_2021.csv; 11_Nov_2022.csv; 11_Nov_2023.csv; 11_Nov_2024.csv; 11_Nov_2025.csv; 12_Dec_2021.csv; 12_Dec_2022.csv; 12_Dec_2023.csv; 12_Dec_2024.csv; 12_Dec_2025.csv
JAGITYAL,JAGITYAL,mapped,no,yes,76,10_OCT_2025.csv; 11_NOV_2025.csv; 12_DEC_2025.csv; 1_JAN_2026.csv; 2_FEB_2026.csv; 3_MAR_2025.csv; 3_MAR_2026.csv; 4_APR_2025.csv; 4_APR_2026.csv; 5_MAY_2025.csv; 5_MAY_2026.csv; 6_JUN_2025.csv; 6_JUN_2026.csv; 7_JUL_2025.csv; 8_AUG_2025.csv; 9_SEP_2025.csv
JANGAON,JANGAON,mapped,no,yes,96,10_OCT_2025.csv; 11_NOV_2025.csv; 12_DEC_2024.csv; 12_DEC_2025.csv; 1_JAN_2025.csv; 1_JAN_2026.csv; 2_FEB_2025.csv; 2_FEB_2026.csv; 3_MAR_2025.csv; 3_MAR_2026.csv; 4_APR_2025.csv; 4_APR_2026.csv; 5_MAY_2025.csv; 5_MAY_2026.csv; 6_JUN_2025.csv; 6_JUN_2026.csv; 7_JUL_2025.csv; 8_AUG_2025.csv; 9_SEP_2025.csv
