feature,importance
billed_services,0.35256523
total_services,0.34446892
rolling_average_3m,0.17810348
previous_month_units,0.05971661
load,0.02142832
rolling_min_6m,0.015631868
rolling_max_6m,0.012426792
rolling_average_6m,0.006544353
load_per_station,0.0049345065
rolling_average_12m,0.0024092235
stations_per_sqkm,0.0004555137
circle_count,0.00022556321
previous_month_load,0.0001835207
subdivision_count,0.00015742161
division_count,0.00012110846
monthly_load_growth,0.00011591295
billed_service_ratio,6.594567e-05
monthly_growth_rate,6.4201944e-05
rolling_std_6m,5.792769e-05
average_load_per_service,5.3329164e-05
units_per_station,5.083784e-05
month,4.74728e-05
average_units_per_service,4.597396e-05
average_units_per_billed_service,2.9206185e-05
cumulative_load,2.5389785e-05
district_area_sqkm,1.9539082e-05
rolling_std_3m,1.4926221e-05
longitude,9.812299e-06
charging_station_count,9.654315e-06
year,8.5655965e-06
services_per_station,5.040009e-06
latitude,3.8948665e-06
is_first_month,4.675762e-10
month_of_year,0.0
year_index,0.0
is_last_month,0.0
quarter,0.0
