feature,mean_abs_shap
total_services,14776.519
rolling_average_3m,9397.166
previous_month_units,7586.5557
billed_services,3513.3716
load,3489.725
rolling_average_6m,2678.211
rolling_max_6m,2413.8086
rolling_min_6m,1618.2146
rolling_average_12m,1235.2467
load_per_station,808.2088
month,341.12827
previous_month_load,333.3499
monthly_growth_rate,242.5376
units_per_station,192.25145
stations_per_sqkm,168.4616
division_count,149.73296
rolling_std_6m,148.77228
cumulative_load,139.52676
rolling_std_3m,122.967224
average_load_per_service,117.77738
billed_service_ratio,94.64048
average_units_per_service,90.54141
monthly_load_growth,87.635925
average_units_per_billed_service,87.63099
charging_station_count,66.82978
subdivision_count,57.15768
year,46.163654
latitude,42.61141
longitude,39.504242
district_area_sqkm,23.116453
services_per_station,13.787384
circle_count,4.5008264
is_first_month,0.0018913962
month_of_year,0.0
year_index,0.0
is_last_month,0.0
quarter,0.0
